# todo: needs to see if there's a complete list of known model names (SuperMaaS)
CHIRPS
CHIRPS-GEFS
APSIM
Malnutrition model
Intervention model
Conflict predict model
Conflict forecast model
Market prices model
Hydrology model
Crop model
MaxHop
Drought Indices model
Topoflow36
Flee
TWIST
Food Shocks Cascade
DSSAT
LPJmL
CHIME
SIR
