\mathcal
\boldsymbol
\mathbf
\acute
\grave
\ddot
\tilde
\bar
\breve
\check
\hat
\vec
\dot
\ddot
\textrm
\textsf
\texttt
\textup
\textit
\textsl
\textsc
\uppercase
\textbf
\textmd
\textlf
\mathbb
_
^
\mathfrak
\mathrm
\pmb
