\ap
\approx
\approxeq
\asymp
\backepsilon
\backsim
\backsimeq
\because
\between
\blacktriangleleft
\blacktriangleright
\bowtie
\bumpeq
\Bumpeq
\circeq
\circlearrowleft
\circlearrowright
\cong
\curlyeqprec
\curlyeqsucc
\curvearrowleft
\curvearrowright
\dashv
\doteq
\Doteq
\doteqdot
\downdownarrows
\downharpoonleft
\downharpoonright
\eqcirc
\eqsim
\eqslantgtr
\eqslantless
\equiv
\fallingdotseq
\frown
\ge
\geq
\geqq
\geqslant
\gets
\gg
\ggg
\gggtr
\gnapprox
\gneq
\gneqq
\gnsim
\gt
\gtrapprox
\gtreqless
\gtreqqless
\gtrless
\gtrsim
\gvertneqq
\hookleftarrow
\hookrightarrow
\implies
\in
\le
\leftarrow
\Leftarrow
\leftarrowtail
\leftharpoondown
\leftharpoonup
\leftleftarrows
\leftrightarrow
\Leftrightarrow
\leftrightarrows
\leftrightharpoons
\leftrightsquigarrow
\leq
\leqq
\leqslant
\lessapprox
\lesseqgtr
\lesseqqgtr
\lessgtr
\lesssim
\ll
\Lleftarrow
\lll
\llless
\lnapprox
\lneq
\lneqq
\lnsim
\longleftarrow
\Longleftarrow
\longleftrightarrow
\Longleftrightarrow
\longmapsto
\longrightarrow
\Longrightarrow
\looparrowleft
\looparrowright
\Lsh
\lt
\lvertneqq
\mapsto
\mathcal
\mid
\models
\multimap
\ncong
\ne
\nearrow
\neq
\ngeq
\ngeqq
\ngeqslant
\ngtr
\ni
\nLeftarrow
\nleftarrow
\nLeftrightarrow
\nleftrightarrow
\nleq
\nleqq
\nleqslant
\nless
\nmid
\notin
\nparallel
\nprec
\npreceq
\nRightarrow
\nrightarrow
\nshortmid
\nshortparallel
\nsim
\nsubseteq
\nsubseteqq
\nsucc
\nsucceq
\nsupseteq
\nsupseteqq
\ntriangleleft
\ntrianglelefteq
\ntriangleright
\ntrianglerighteq
\nvdash
\nVdash
\nvDash
\nVDash
\nwarrow
\owns
\parallel
\perp
\pitchfork
\prec
\precapprox
\preccurlyeq
\preceq
\precnapprox
\precneqq
\precnsim
\precsim
\propto
\restriction
\rightarrow
\Rightarrow
\rightarrowtail
\rightharpoondown
\rightharpoonup
\rightleftarrows
\rightleftharpoons
\rightrightarrows
\rightsquigarrow
\risingdotseq
\Rrightarrow
\Rsh
\searrow
\shortmid
\shortparallel
\sim
\simeq
\smallfrown
\smallsmile
\smile
\sqsubset
\sqsubseteq
\sqsupset
\sqsupseteq
\subset
\Subset
\subseteq
\subseteqq
\subsetneq
\subsetneqq
\succ
\succapprox
\succcurlyeq
\succeq
\succnapprox
\succneqq
\succnsim
\succsim
\supset
\Supset
\supseteq
\supseteqq
\supsetneq
\supsetneqq
\swarrow
\therefore
\thickapprox
\thicksim
\to
\trianglelefteq
\triangleq
\trianglerighteq
\twoheadleftarrow
\twoheadrightarrow
\upharpoonleft
\upharpoonright
\upuparrows
\varpropto
\varsubsetneq
\varsubsetneqq
\varsupsetneq
\varsupsetneqq
\vartriangle
\vartriangleleft
\vartriangleright
\vdash
\Vdash
\vDash
\Vvdash
_
