α	alpha
β	beta
γ	gamma
δ	delta
ε	epsilon
ζ	zêta
η	êta
θ	thêta
ι	iota
κ	kappa
λ	lambda
μ	mu
ν	nu
ξ	xi
ο	omikron
π	pi
ρ	rho
σ	sigma
τ	tau
υ	upsilon
φ	phi
χ	chi
ψ	psi
ω	omega
